Condition,Replication,Parameter,ESS,RHAT
Study1_Tb3_N500,15,Level2Sigma[4],8899,1
Study1_Tb3_N500,15,Level2Sigma[5],147,1.0005
Study1_Tb3_N500,15,Level2Sigma[6],168,1.0015
Study1_Tb3_N500,15,Level2Sigma[7],184,1.0031
Study1_Tb3_N500,15,Level2Sigma[8],150,1.0307
Study1_Tb3_N500,15,"sigma_innovation[1,1]",489,1.0021
Study1_Tb3_N500,15,"sigma_innovation[2,1]",541,1
Study1_Tb3_N500,15,"sigma_innovation[1,2]",541,1
Study1_Tb3_N500,15,"sigma_innovation[2,2]",458,1.0002
Study1_Tb3_N500,16,Level2Mean[1],18095,1
Study1_Tb3_N500,16,Level2Mean[2],24225,1
Study1_Tb3_N500,16,Level2Mean[3],24205,1
Study1_Tb3_N500,16,Level2Mean[4],32875,1
Study1_Tb3_N500,16,Level2Mean[5],107,1
Study1_Tb3_N500,16,Level2Mean[6],129,1.0694
Study1_Tb3_N500,16,Level2Mean[7],262,1.0147
Study1_Tb3_N500,16,Level2Mean[8],172,1.0014
Study1_Tb3_N500,16,Level2Sigma[1],732,1
Study1_Tb3_N500,16,Level2Sigma[2],1737,1.0106
Study1_Tb3_N500,16,Level2Sigma[3],1804,1
Study1_Tb3_N500,16,Level2Sigma[4],11966,1.0015
Study1_Tb3_N500,16,Level2Sigma[5],192,1.0068
Study1_Tb3_N500,16,Level2Sigma[6],164,1.0023
Study1_Tb3_N500,16,Level2Sigma[7],135,1.0033
Study1_Tb3_N500,16,Level2Sigma[8],152,1.018
Study1_Tb3_N500,16,"sigma_innovation[1,1]",200,1.0004
Study1_Tb3_N500,16,"sigma_innovation[2,1]",613,1.0003
Study1_Tb3_N500,16,"sigma_innovation[1,2]",613,1.0003
Study1_Tb3_N500,16,"sigma_innovation[2,2]",335,1.0243
Study1_Tb3_N500,17,Level2Mean[1],20388,1.0001
Study1_Tb3_N500,17,Level2Mean[2],18221,1
Study1_Tb3_N500,17,Level2Mean[3],26650,1
Study1_Tb3_N500,17,Level2Mean[4],29922,1
Study1_Tb3_N500,17,Level2Mean[5],99,1.0044
Study1_Tb3_N500,17,Level2Mean[6],129,1.01
Study1_Tb3_N500,17,Level2Mean[7],172,1.0083
Study1_Tb3_N500,17,Level2Mean[8],179,1.0015
Study1_Tb3_N500,17,Level2Sigma[1],923,1.0008
Study1_Tb3_N500,17,Level2Sigma[2],736,1.0029
Study1_Tb3_N500,17,Level2Sigma[3],2570,1.0001
Study1_Tb3_N500,17,Level2Sigma[4],5529,1.0002
Study1_Tb3_N500,17,Level2Sigma[5],168,1.0007
Study1_Tb3_N500,17,Level2Sigma[6],213,1.002
Study1_Tb3_N500,17,Level2Sigma[7],151,1.001
Study1_Tb3_N500,17,Level2Sigma[8],180,1.0077
Study1_Tb3_N500,17,"sigma_innovation[1,1]",227,1.0028
Study1_Tb3_N500,17,"sigma_innovation[2,1]",633,1.0008
Study1_Tb3_N500,17,"sigma_innovation[1,2]",633,1.0008
Study1_Tb3_N500,17,"sigma_innovation[2,2]",294,1.0029
Study1_Tb3_N500,18,Level2Mean[1],22443,1
Study1_Tb3_N500,18,Level2Mean[2],21033,1
Study1_Tb3_N500,18,Level2Mean[3],28970,1
Study1_Tb3_N500,18,Level2Mean[4],32978,1
Study1_Tb3_N500,18,Level2Mean[5],107,1.0004
Study1_Tb3_N500,18,Level2Mean[6],180,1.0092
Study1_Tb3_N500,18,Level2Mean[7],226,1.0015
Study1_Tb3_N500,18,Level2Mean[8],259,1
Study1_Tb3_N500,18,Level2Sigma[1],1104,1.0001
Study1_Tb3_N500,18,Level2Sigma[2],1540,1.0024
Study1_Tb3_N500,18,Level2Sigma[3],3390,1
Study1_Tb3_N500,18,Level2Sigma[4],10703,1.0002
Study1_Tb3_N500,18,Level2Sigma[5],180,1.0032
Study1_Tb3_N500,18,Level2Sigma[6],156,1.0207
Study1_Tb3_N500,18,Level2Sigma[7],147,1.0001
Study1_Tb3_N500,18,Level2Sigma[8],164,1.0026
Study1_Tb3_N500,18,"sigma_innovation[1,1]",202,1.0006
Study1_Tb3_N500,18,"sigma_innovation[2,1]",585,1
Study1_Tb3_N500,18,"sigma_innovation[1,2]",585,1
Study1_Tb3_N500,18,"sigma_innovation[2,2]",460,1.0025
Study1_Tb3_N500,19,Level2Mean[1],17806,1
Study1_Tb3_N500,19,Level2Mean[2],19691,1
Study1_Tb3_N500,19,Level2Mean[3],26215,1
Study1_Tb3_N500,19,Level2Mean[4],32973,1
Study1_Tb3_N500,19,Level2Mean[5],86,1
Study1_Tb3_N500,19,Level2Mean[6],181,1.0078
Study1_Tb3_N500,19,Level2Mean[7],247,1.0009
Study1_Tb3_N500,19,Level2Mean[8],185,1
Study1_Tb3_N500,19,Level2Sigma[1],615,1
Study1_Tb3_N500,19,Level2Sigma[2],1037,1.0009
Study1_Tb3_N500,19,Level2Sigma[3],1600,1
Study1_Tb3_N500,19,Level2Sigma[4],14380,1.0003
Study1_Tb3_N500,19,Level2Sigma[5],202,1.0029
Study1_Tb3_N500,19,Level2Sigma[6],147,1.0021
Study1_Tb3_N500,19,Level2Sigma[7],146,1.0033
Study1_Tb3_N500,19,Level2Sigma[8],215,1.007
Study1_Tb3_N500,19,"sigma_innovation[1,1]",173,1
Study1_Tb3_N500,19,"sigma_innovation[2,1]",494,1
Study1_Tb3_N500,19,"sigma_innovation[1,2]",494,1
Study1_Tb3_N500,19,"sigma_innovation[2,2]",356,1.0031
Study1_Tb3_N500,20,Level2Mean[1],19640,1
Study1_Tb3_N500,20,Level2Mean[2],20762,1
Study1_Tb3_N500,20,Level2Mean[3],28572,1
Study1_Tb3_N500,20,Level2Mean[4],31692,1
Study1_Tb3_N500,20,Level2Mean[5],171,1.0076
Study1_Tb3_N500,20,Level2Mean[6],138,1.0031
Study1_Tb3_N500,20,Level2Mean[7],294,1
Study1_Tb3_N500,20,Level2Mean[8],239,1.0106
Study1_Tb3_N500,20,Level2Sigma[1],1147,1.0034
Study1_Tb3_N500,20,Level2Sigma[2],828,1.0003
Study1_Tb3_N500,20,Level2Sigma[3],3221,1.0005
Study1_Tb3_N500,20,Level2Sigma[4],6879,1.0001
Study1_Tb3_N500,20,Level2Sigma[5],172,1.0006
Study1_Tb3_N500,20,Level2Sigma[6],139,1.0008
Study1_Tb3_N500,20,Level2Sigma[7],167,1.001
Study1_Tb3_N500,20,Level2Sigma[8],182,1.0077
Study1_Tb3_N500,20,"sigma_innovation[1,1]",301,1.0034
Study1_Tb3_N500,20,"sigma_innovation[2,1]",553,1.001
Study1_Tb3_N500,20,"sigma_innovation[1,2]",553,1.001
Study1_Tb3_N500,20,"sigma_innovation[2,2]",322,1.0013
Study1_Tb3_N500,21,Level2Mean[1],18054,1
Study1_Tb3_N500,21,Level2Mean[2],19051,1
Study1_Tb3_N500,21,Level2Mean[3],26916,1.0001
Study1_Tb3_N500,21,Level2Mean[4],32681,1
Study1_Tb3_N500,21,Level2Mean[5],438,1.0186
Study1_Tb3_N500,21,Level2Mean[6],174,1.0127
Study1_Tb3_N500,21,Level2Mean[7],215,1.003
Study1_Tb3_N500,21,Level2Mean[8],173,1.0165
Study1_Tb3_N500,21,Level2Sigma[1],1267,1.0035
Study1_Tb3_N500,21,Level2Sigma[2],1325,1.0053
Study1_Tb3_N500,21,Level2Sigma[3],5208,1.0029
Study1_Tb3_N500,21,Level2Sigma[4],7879,1.0007
Study1_Tb3_N500,21,Level2Sigma[5],327,1.0078
Study1_Tb3_N500,21,Level2Sigma[6],169,1.0001
Study1_Tb3_N500,21,Level2Sigma[7],157,1.0115
Study1_Tb3_N500,21,Level2Sigma[8],180,1.0108
Study1_Tb3_N500,21,"sigma_innovation[1,1]",650,1.0052
Study1_Tb3_N500,21,"sigma_innovation[2,1]",434,1.0011
Study1_Tb3_N500,21,"sigma_innovation[1,2]",434,1.0011
Study1_Tb3_N500,21,"sigma_innovation[2,2]",382,1.0074
Study1_Tb3_N500,22,Level2Mean[1],18671,1.0003
Study1_Tb3_N500,22,Level2Mean[2],23137,1
Study1_Tb3_N500,22,Level2Mean[3],27499,1
Study1_Tb3_N500,22,Level2Mean[4],33936,1.0001
Study1_Tb3_N500,22,Level2Mean[5],167,1.002
Study1_Tb3_N500,22,Level2Mean[6],163,1.0046
Study1_Tb3_N500,22,Level2Mean[7],234,1.0007
Study1_Tb3_N500,22,Level2Mean[8],478,1
Study1_Tb3_N500,22,Level2Sigma[1],583,1.0005
